PublishDate,SupplierCompanyName,TerritoryName,X1,X2,X3,X4,Y,Z1,Z2,Z3,Z4,T1,Y1,Y2,T2,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1/10/2014,IGS Energy,Duke Energy Ohio,5.288,3452,223.988,0.1205,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/11/2014,IGS Energy,Duke Energy Ohio,5.288,3452,223.988,0.1205,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/12/2014,IGS Energy,Duke Energy Ohio,5.288,3452,223.988,0.1205,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/13/2014,IGS Energy,Duke Energy Ohio,6.096,3452,223.988,0.1205,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/14/2014,IGS Energy,Duke Energy Ohio,6.579,3452,223.988,0.1205,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/15/2014,IGS Energy,Duke Energy Ohio,6.678,3452,223.988,0.1205,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/16/2014,IGS Energy,Duke Energy Ohio,7.735,3452,223.988,0.1205,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/17/2014,IGS Energy,Duke Energy Ohio,7.58,3452,223.988,0.130833333,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/18/2014,IGS Energy,Duke Energy Ohio,7.58,3452,223.988,0.130833333,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/19/2014,IGS Energy,Duke Energy Ohio,7.58,3452,223.988,0.130833333,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/20/2014,IGS Energy,Duke Energy Ohio,7.58,3452,223.988,0.130833333,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/21/2014,IGS Energy,Duke Energy Ohio,9.544,3452,223.988,0.130833333,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/22/2014,IGS Energy,Duke Energy Ohio,9.922,3452,223.988,0.130833333,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/23/2014,IGS Energy,Duke Energy Ohio,10.756,3452,223.988,0.130833333,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/24/2014,IGS Energy,Duke Energy Ohio,12.954,3452,223.988,0.13,0.5,4,0,0,100,2013,5.49,5.99,1,1,0,0,0,0,0,0,0,0,0,0
1/24/2014,Star Energy Partners LLC,Duke Energy Ohio,7.674,3452,223.988,0.128636813,0.2,12,0,50,100,2013,5.79,5.99,1,1,0,0,0,0,0,0,0,0,0,0
