PublishDate,SupplierCompanyName,ContractTerms,TerritoryName,RenewableFee_100,MonthlyFee,EarlyTerminationFee,Price_100,RenewableFee_0,Price_0,Price_Difference,total_rec_cost,monthly_rec_cost,CalculatedForwardPrice,CalendarYear,HHI,CPI,DeliveryYear
1/28/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.543641761,0.128636813,62.78,2014,3452,223.988,2013
1/29/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.543641761,0.128636813,64.8,2014,3452,223.988,2013
1/30/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.543641761,0.128636813,62.23,2014,3452,223.988,2013
1/31/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.543641761,0.128636813,61.88,2014,3452,223.988,2013
2/1/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.527283522,0.127273627,52.94,2014,3452,224.857,2013
2/2/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.527283522,0.127273627,52.94,2014,3452,224.857,2013
2/3/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.527283522,0.127273627,53.38,2014,3452,224.857,2013
2/4/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.527283522,0.127273627,55.48,2014,3452,224.857,2013
2/5/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.527283522,0.127273627,56.21,2014,3452,224.857,2013
2/6/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.527283522,0.127273627,54.47,2014,3452,224.857,2013
2/7/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.29,0,6.19,0.1,1.527283522,0.127273627,52.95,2014,3452,224.857,2013
2/8/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,52.95,2014,3452,224.857,2013
2/9/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,52.95,2014,3452,224.857,2013
2/10/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,52.79,2014,3452,224.857,2013
2/11/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,53.65,2014,3452,224.857,2013
2/12/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,53.74,2014,3452,224.857,2013
2/13/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,54.45,2014,3452,224.857,2013
2/14/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,55.38,2014,3452,224.857,2013
2/15/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,55.38,2014,3452,224.857,2013
2/16/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,55.38,2014,3452,224.857,2013
2/17/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,55.38,2014,3452,224.857,2013
2/18/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,57.05,2014,3452,224.857,2013
2/19/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,59.54,2014,3452,224.857,2013
2/20/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.527283522,0.127273627,59.35,2014,3452,224.857,2013
2/21/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.510616855,0.125884738,60.85,2014,3452,224.857,2013
2/22/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.510616855,0.125884738,60.85,2014,3452,224.857,2013
2/23/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.510616855,0.125884738,60.85,2014,3452,224.857,2013
2/24/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.510616855,0.125884738,57.65,2014,3452,224.857,2013
2/25/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.510616855,0.125884738,57.79,2014,3452,224.857,2013
2/26/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.510616855,0.125884738,57.33,2014,3452,224.857,2013
2/27/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.510616855,0.125884738,56.86,2014,3452,224.857,2013
3/1/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.495925283,0.12466044,55.72,2014,3452,225.627,2013
3/2/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.495925283,0.12466044,55.72,2014,3452,225.627,2013
3/3/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.59,0,6.49,0.1,1.495925283,0.12466044,57.38,2014,3452,225.627,2013
3/4/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,58.33,2014,3452,225.627,2013
3/5/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,57.75,2014,3452,225.627,2013
3/6/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,59.19,2014,3452,225.627,2013
3/7/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,59.75,2014,3452,225.627,2013
3/8/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,59.75,2014,3452,225.627,2013
3/9/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,59.75,2014,3452,225.627,2013
3/10/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,60.18,2014,3452,225.627,2013
3/11/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,59.78,2014,3452,225.627,2013
3/12/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,59.33,2014,3452,225.627,2013
3/13/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.495925283,0.12466044,57.86,2014,3452,225.627,2013
3/14/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.465925283,0.12216044,57.77,2014,3452,225.627,2013
3/15/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.465925283,0.12216044,57.77,2014,3452,225.627,2013
3/16/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.465925283,0.12216044,57.77,2014,3452,225.627,2013
3/17/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.465925283,0.12216044,59.57,2014,3452,225.627,2013
3/18/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.465925283,0.12216044,59.33,2014,3452,225.627,2013
3/19/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.465925283,0.12216044,59.41,2014,3452,225.627,2013
3/20/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.465925283,0.12216044,58.78,2014,3452,225.627,2013
3/21/2014,XOOM Energy Ohio LLC,12,Duke Energy Ohio,50,0,100,6.89,0,6.79,0.1,1.366925283,0.11391044,57.99,2014,3452,225.627,2013
